class,layer,change_rate,type,rank
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",2,0.038763217926025995,least_critical,2
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",11,-0.23604572522788658,least_critical,3
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",8,-2.518981684446335,critical,1
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",9,-1.836812180581037,critical,2
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",1,-1.710144062042236,critical,3
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",3,1.197017545700073,least_critical,1
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",4,0.7286329746246345,least_critical,2
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",5,0.049120306968688965,least_critical,3
"sulphur butterfly, sulfur butterfly",9,-4.398439047690481,critical,1
"sulphur butterfly, sulfur butterfly",2,-1.1007733440399168,critical,2
"sulphur butterfly, sulfur butterfly",8,-1.0150687360763557,critical,3
"sulphur butterfly, sulfur butterfly",1,0.6526940202713014,least_critical,1
"sulphur butterfly, sulfur butterfly",3,0.19691431045532148,least_critical,2
"sulphur butterfly, sulfur butterfly",5,-0.10552237510681106,least_critical,3
"sea cucumber, holothurian",1,-1.6941875457763667,critical,1
"sea cucumber, holothurian",9,-1.6738685156135036,critical,2
"sea cucumber, holothurian",8,-1.2553794803470373,critical,3
"sea cucumber, holothurian",4,0.22040251731872562,least_critical,1
"sea cucumber, holothurian",5,-0.16203732490539569,least_critical,2
"sea cucumber, holothurian",11,-0.18141343917595862,least_critical,3
"guinea pig, Cavia cobaya",9,-3.620659117735923,critical,1
"guinea pig, Cavia cobaya",7,-1.9698890018463135,critical,2
"guinea pig, Cavia cobaya",8,-1.6257853567600247,critical,3
"guinea pig, Cavia cobaya",6,0.5847373294830325,least_critical,1
"guinea pig, Cavia cobaya",11,-0.16295793302830133,least_critical,2
"guinea pig, Cavia cobaya",3,-0.16437580585479772,least_critical,3
"hog, pig, grunter, squealer, Sus scrofa",10,-1.1541277957969576,critical,1
"hog, pig, grunter, squealer, Sus scrofa",3,-1.1135593366622922,critical,2
"hog, pig, grunter, squealer, Sus scrofa",9,-0.7877890994958581,critical,3
"hog, pig, grunter, squealer, Sus scrofa",1,1.79241641998291,least_critical,1
"hog, pig, grunter, squealer, Sus scrofa",5,0.006776175498962367,least_critical,2
"hog, pig, grunter, squealer, Sus scrofa",7,-0.05733638286590592,least_critical,3
ox,9,-1.3399474159628153,critical,1
ox,8,-0.7047178393602369,critical,2
ox,10,-0.7006736604662184,critical,3
ox,2,0.7201775956153864,least_critical,1
ox,1,-0.07186245441436734,least_critical,2
ox,3,-0.117009739875793,least_critical,3
bison,7,-1.0039466381073,critical,1
bison,10,-0.9415781978052109,critical,2
bison,8,-0.9234184205532072,critical,3
bison,2,0.6110245943069463,least_critical,1
