Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_51,n01629819,"European fire salamander, Salamandra salamandra",0.1067124754190445,0.041658587753772736,0.048708632588386536,0.08703693002462387,0.1263258159160614,0.1813523769378662,0.2534307539463043,0.3338453769683838,0.5140813589096069,0.8425471186637878,0.9476640224456787,0.9900581240653992
Image_52,n01629819,"European fire salamander, Salamandra salamandra",0.05299381539225578,0.012246102094650269,0.02404870092868805,0.06760957837104797,0.11375375837087631,0.18576601147651672,0.2560218274593353,0.3439561724662781,0.5372597575187683,0.8533243536949158,0.9492235779762268,0.9905767440795898
Image_53,n01629819,"European fire salamander, Salamandra salamandra",0.07945562899112701,0.039474017918109894,0.007606670260429382,0.049360718578100204,0.1117529422044754,0.19137485325336456,0.26054924726486206,0.33830317854881287,0.5117202401161194,0.8544352054595947,0.9375025629997253,0.9887999892234802
Image_54,n01629819,"European fire salamander, Salamandra salamandra",0.09393506497144699,0.058654993772506714,0.019208848476409912,0.035719238221645355,0.06671919673681259,0.11516490578651428,0.17013610899448395,0.24361148476600647,0.4101044535636902,0.7706006169319153,0.9266238212585449,0.9901502728462219
Image_55,n01629819,"European fire salamander, Salamandra salamandra",0.04348950460553169,0.0073972437530756,0.025686092674732208,0.08661644160747528,0.14947493374347687,0.21262530982494354,0.27850133180618286,0.35446780920028687,0.5170156955718994,0.8198408484458923,0.9362934231758118,0.9879915714263916
Image_56,n01629819,"European fire salamander, Salamandra salamandra",0.05819988623261452,0.016731299459934235,0.015591643750667572,0.06739035993814468,0.11194609105587006,0.16762246191501617,0.2244485467672348,0.3003869354724884,0.46460264921188354,0.8275023698806763,0.9268283843994141,0.9898875951766968
Image_57,n01629819,"European fire salamander, Salamandra salamandra",0.09422147274017334,0.058843109756708145,0.060671884566545486,0.09241622686386108,0.1516561359167099,0.21980014443397522,0.2791424095630646,0.37190869450569153,0.5237512588500977,0.8260698318481445,0.9386709928512573,0.9896606206893921
Image_58,n01629819,"European fire salamander, Salamandra salamandra",0.08557384461164474,0.029485411942005157,0.04023994505405426,0.07057566940784454,0.12048641592264175,0.17755155265331268,0.2394358515739441,0.3387860059738159,0.4925079345703125,0.7922990918159485,0.9263094067573547,0.9898659586906433
Image_59,n01629819,"European fire salamander, Salamandra salamandra",0.06562879681587219,0.006275385618209839,0.011567555367946625,0.04942556470632553,0.10155217349529266,0.1635119616985321,0.23972314596176147,0.3148266077041626,0.4696662724018097,0.8026671409606934,0.9363534450531006,0.990186333656311
Image_60,n01629819,"European fire salamander, Salamandra salamandra",0.1000354066491127,0.04430350661277771,0.0010404884815216064,0.011615797877311707,0.05982720106840134,0.11119865626096725,0.1677638441324234,0.2624847888946533,0.4068514108657837,0.7297552824020386,0.8869941234588623,0.9898530840873718
Image_61,n01629819,"European fire salamander, Salamandra salamandra",0.0917510986328125,0.03071378730237484,0.04109635949134827,0.10010373592376709,0.16906645894050598,0.23038384318351746,0.2863374948501587,0.4039043188095093,0.5561453700065613,0.835867702960968,0.9473665952682495,0.9884606599807739
Image_62,n01629819,"European fire salamander, Salamandra salamandra",0.08137591183185577,0.04178638756275177,0.04129590094089508,0.06870868802070618,0.10745339095592499,0.16622290015220642,0.23462796211242676,0.32116201519966125,0.4869851768016815,0.8184037208557129,0.9378290176391602,0.9898419976234436
Image_63,n01629819,"European fire salamander, Salamandra salamandra",0.03930385783314705,0.024908337742090225,0.025275804102420807,0.056044865399599075,0.09668377041816711,0.15613281726837158,0.2242572158575058,0.2944473624229431,0.44096243381500244,0.7874789834022522,0.9327765107154846,0.9897780418395996
