class,layer,change_rate,type,rank
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",22,0.18573735899182797,critical,2
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",20,0.026965667637541626,critical,3
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",1,-inf,least_critical,1
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",4,-inf,least_critical,2
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",5,-inf,least_critical,3
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",23,0.7285359572045854,critical,1
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",22,0.1993743394904414,critical,2
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",21,0.007428107783748597,critical,3
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",1,-inf,least_critical,1
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",2,-inf,least_critical,2
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",9,-inf,least_critical,3
"sulphur butterfly, sulfur butterfly",23,0.7939259433268125,critical,1
"sulphur butterfly, sulfur butterfly",20,0.03237660627977675,critical,2
"sulphur butterfly, sulfur butterfly",22,0.03175766911885148,critical,3
"sulphur butterfly, sulfur butterfly",4,-inf,least_critical,1
"sulphur butterfly, sulfur butterfly",7,-inf,least_critical,2
"sulphur butterfly, sulfur butterfly",11,-inf,least_critical,3
"sea cucumber, holothurian",23,0.4676805834160769,critical,1
"sea cucumber, holothurian",20,0.08276756017468871,critical,2
"sea cucumber, holothurian",21,0.054436848772456886,critical,3
"sea cucumber, holothurian",1,-inf,least_critical,1
"sea cucumber, holothurian",2,-inf,least_critical,2
"sea cucumber, holothurian",5,-inf,least_critical,3
"guinea pig, Cavia cobaya",23,0.6556620178487356,critical,1
"guinea pig, Cavia cobaya",22,0.060637273614220236,critical,2
"guinea pig, Cavia cobaya",20,0.004527569645972534,critical,3
"guinea pig, Cavia cobaya",1,-inf,least_critical,1
"guinea pig, Cavia cobaya",10,-inf,least_critical,2
"guinea pig, Cavia cobaya",14,-inf,least_critical,3
"hog, pig, grunter, squealer, Sus scrofa",22,0.276907837279141,critical,1
"hog, pig, grunter, squealer, Sus scrofa",23,0.18182616761885578,critical,2
"hog, pig, grunter, squealer, Sus scrofa",20,0.05780122418655084,critical,3
"hog, pig, grunter, squealer, Sus scrofa",1,-inf,least_critical,1
"hog, pig, grunter, squealer, Sus scrofa",2,-inf,least_critical,2
"hog, pig, grunter, squealer, Sus scrofa",4,-inf,least_critical,3
ox,22,0.22073856381000953,critical,1
ox,21,0.03138223515357823,critical,2
ox,20,0.029600507589057096,critical,3
ox,3,-inf,least_critical,1
ox,4,-inf,least_critical,2
ox,5,-inf,least_critical,3
bison,22,0.6099180000647904,critical,1
bison,23,0.1309232955146581,critical,2
bison,20,0.045438683307729655,critical,3
bison,1,-inf,least_critical,1
bison,2,-inf,least_critical,2
bison,3,-inf,least_critical,3
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",23,0.4301257315272687,critical,1
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",22,0.4165881207722214,critical,2
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",20,0.0037308505050941414,critical,3
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1,-inf,least_critical,1
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",2,-inf,least_critical,2
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",3,-inf,least_critical,3
gazelle,22,0.4538423590455205,critical,1
gazelle,23,0.21550721678882834,critical,2
gazelle,20,0.09622414525132626,critical,3
gazelle,1,-inf,least_critical,1
gazelle,2,-inf,least_critical,2
gazelle,3,-inf,least_critical,3
"Arabian camel, dromedary, Camelus dromedarius",23,0.69529597453971,critical,1
"Arabian camel, dromedary, Camelus dromedarius",22,0.11459568564777924,critical,2
"Arabian camel, dromedary, Camelus dromedarius",21,0.008749437247284737,critical,3
"Arabian camel, dromedary, Camelus dromedarius",2,-inf,least_critical,1
"Arabian camel, dromedary, Camelus dromedarius",4,-inf,least_critical,2
"Arabian camel, dromedary, Camelus dromedarius",11,-inf,least_critical,3
"orangutan, orang, orangutang, Pongo pygmaeus",22,0.4054120309914015,critical,1
"orangutan, orang, orangutang, Pongo pygmaeus",23,0.1787780023591768,critical,2
"orangutan, orang, orangutang, Pongo pygmaeus",21,0.007605639833473095,critical,3
"orangutan, orang, orangutang, Pongo pygmaeus",1,-inf,least_critical,1
"orangutan, orang, orangutang, Pongo pygmaeus",2,-inf,least_critical,2
"orangutan, orang, orangutang, Pongo pygmaeus",9,-inf,least_critical,3
"chimpanzee, chimp, Pan troglodytes",22,0.2955402898328611,critical,1
"chimpanzee, chimp, Pan troglodytes",23,0.2890566961397417,critical,2
"chimpanzee, chimp, Pan troglodytes",21,0.129499509606394,critical,3
"chimpanzee, chimp, Pan troglodytes",1,-inf,least_critical,1
"chimpanzee, chimp, Pan troglodytes",2,-inf,least_critical,2
"chimpanzee, chimp, Pan troglodytes",10,-inf,least_critical,3
baboon,22,0.4418183000548744,critical,1
baboon,23,0.09842517579672849,critical,2
baboon,20,0.05603438414676931,critical,3
baboon,1,-inf,least_critical,1
baboon,5,-inf,least_critical,2
baboon,10,-inf,least_critical,3
"African elephant, Loxodonta africana",23,0.84098227517934,critical,1
"African elephant, Loxodonta africana",21,0.021016798192358695,critical,2
"African elephant, Loxodonta africana",22,0.015375099820466854,critical,3
"African elephant, Loxodonta africana",2,-inf,least_critical,1
"African elephant, Loxodonta africana",4,-inf,least_critical,2
"African elephant, Loxodonta africana",7,-inf,least_critical,3
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",23,0.5669592340819509,critical,1
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",22,0.2621224188640918,critical,2
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",21,0.03482434637498955,critical,3
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",2,-inf,least_critical,1
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",7,-inf,least_critical,2
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",15,-inf,least_critical,3
abacus,21,0.14218126185704022,critical,1
abacus,19,0.08931245632469655,critical,2
abacus,22,0.08256652479059995,critical,3
abacus,2,-inf,least_critical,1
abacus,4,-inf,least_critical,2
abacus,5,-inf,least_critical,3
"academic gown, academic robe, judge's robe",22,0.2771166731760605,critical,1
"academic gown, academic robe, judge's robe",23,0.27116409696871413,critical,2
"academic gown, academic robe, judge's robe",21,0.21442788644111718,critical,3
"academic gown, academic robe, judge's robe",2,-inf,least_critical,1
"academic gown, academic robe, judge's robe",4,-inf,least_critical,2
"academic gown, academic robe, judge's robe",5,-inf,least_critical,3
altar,23,0.16777285473886877,critical,1
altar,19,0.1535627792077139,critical,2
altar,20,0.13851718126097698,critical,3
altar,2,-inf,least_critical,1
altar,4,-inf,least_critical,2
altar,12,-inf,least_critical,3
apron,22,0.14783202077087484,critical,1
apron,20,0.03264827925653663,critical,2
apron,19,0.03008654342091178,critical,3
apron,1,-inf,least_critical,1
apron,3,-inf,least_critical,2
apron,5,-inf,least_critical,3
"backpack, back pack, knapsack, packsack, rucksack, haversack",23,0.20429248756496238,critical,1
"backpack, back pack, knapsack, packsack, rucksack, haversack",19,0.13222982453822626,critical,2
"backpack, back pack, knapsack, packsack, rucksack, haversack",22,0.11910903655225413,critical,3
"backpack, back pack, knapsack, packsack, rucksack, haversack",1,-inf,least_critical,1
"backpack, back pack, knapsack, packsack, rucksack, haversack",2,-inf,least_critical,2
"backpack, back pack, knapsack, packsack, rucksack, haversack",5,-inf,least_critical,3
"bannister, banister, balustrade, balusters, handrail",23,0.4298408295951959,critical,1
"bannister, banister, balustrade, balusters, handrail",22,0.09524418672721366,critical,2
"bannister, banister, balustrade, balusters, handrail",21,0.038517597018017144,critical,3
"bannister, banister, balustrade, balusters, handrail",1,-inf,least_critical,1
"bannister, banister, balustrade, balusters, handrail",2,-inf,least_critical,2
"bannister, banister, balustrade, balusters, handrail",3,-inf,least_critical,3
barbershop,22,0.2839341765362769,critical,1
barbershop,21,0.16356094805989418,critical,2
barbershop,23,0.11717262516613125,critical,3
barbershop,1,-inf,least_critical,1
barbershop,4,-inf,least_critical,2
barbershop,5,-inf,least_critical,3
