Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23
Image_41,0.402249813079834,0.4138953983783722,0.42586982250213623,0.4307810664176941,0.4354683458805084,0.4381100535392761,0.4477337598800659,0.4657161235809326,0.4786262512207031,0.5036976337432861,0.518315315246582,0.5376889705657959,0.5710235834121704,0.5908157825469971,0.6284456849098206,0.6512435674667358,0.6593741178512573,0.6952373385429382,0.718087911605835,0.7598583698272705,0.7716673016548157,0.833560049533844,0.8785932064056396,1.0
Image_42,0.4007212519645691,0.40776869654655457,0.42760342359542847,0.4348040521144867,0.4369620978832245,0.45299142599105835,0.46761971712112427,0.4934276342391968,0.5071992874145508,0.5265237092971802,0.5369986891746521,0.5534151196479797,0.5719854831695557,0.5742659568786621,0.618188738822937,0.6395970582962036,0.66939777135849,0.6954659819602966,0.7068907618522644,0.7292742133140564,0.7683722972869873,0.8081338405609131,0.8637660145759583,1.0000001192092896
Image_43,0.43000778555870056,0.43847328424453735,0.46208348870277405,0.47161927819252014,0.46390625834465027,0.4741954505443573,0.48560094833374023,0.5037719011306763,0.5133653879165649,0.5150763392448425,0.5283153653144836,0.5275548696517944,0.5349195599555969,0.5421832203865051,0.5812215805053711,0.6083706021308899,0.6024416089057922,0.6443935632705688,0.6783757209777832,0.724002480506897,0.7746239304542542,0.809316873550415,0.8776888251304626,1.0
Image_44,0.43718773126602173,0.4475694000720978,0.4694177210330963,0.47224465012550354,0.4782821536064148,0.4864911735057831,0.48987576365470886,0.503384530544281,0.5064353942871094,0.5176568627357483,0.5101929306983948,0.5177066326141357,0.5230489373207092,0.5359282493591309,0.5673161149024963,0.588227391242981,0.5969357490539551,0.6533335447311401,0.6770800352096558,0.7204147577285767,0.755764901638031,0.8083992004394531,0.8904997706413269,1.0000001192092896
Image_45,0.4124709665775299,0.42306309938430786,0.43976718187332153,0.44217562675476074,0.440714955329895,0.4564342498779297,0.4658368229866028,0.4801592230796814,0.5040249228477478,0.5193370580673218,0.5102739930152893,0.5048133730888367,0.504988968372345,0.49959030747413635,0.546533465385437,0.5837479829788208,0.5993476510047913,0.6549744606018066,0.6764917969703674,0.7002280950546265,0.7554741501808167,0.8154875040054321,0.8781856894493103,1.0000001192092896
Image_46,0.43495696783065796,0.44923314452171326,0.46126997470855713,0.4661255180835724,0.4807564914226532,0.49019932746887207,0.49036023020744324,0.5047532320022583,0.5151820182800293,0.5370388031005859,0.5357042551040649,0.5478512048721313,0.5604571104049683,0.5688756108283997,0.5980271697044373,0.6184232234954834,0.6333805918693542,0.6744495034217834,0.7034350037574768,0.7549358606338501,0.780874490737915,0.82962566614151,0.8679980635643005,1.0
Image_47,0.4445681571960449,0.45886972546577454,0.4725579023361206,0.47819069027900696,0.48183053731918335,0.487531840801239,0.4939078092575073,0.5053387880325317,0.509709358215332,0.5227113962173462,0.5209440588951111,0.5174509286880493,0.5521950721740723,0.5454588532447815,0.5722360610961914,0.5954885482788086,0.5927679538726807,0.639545202255249,0.6759079098701477,0.724075198173523,0.7673220634460449,0.8178029656410217,0.8920866847038269,1.0000001192092896
Image_48,0.42920732498168945,0.4403625428676605,0.4443749189376831,0.45025765895843506,0.4707578420639038,0.48514434695243835,0.4937281608581543,0.5052787661552429,0.5123847723007202,0.5208708047866821,0.529380738735199,0.5544164180755615,0.5493994355201721,0.5676059126853943,0.5910419225692749,0.6207883954048157,0.6356943845748901,0.6862677931785583,0.6988356709480286,0.7322950959205627,0.7687657475471497,0.8141329884529114,0.8782044053077698,1.0000001192092896
Image_49,0.40618830919265747,0.41184237599372864,0.4341075122356415,0.43578284978866577,0.43961161375045776,0.454079270362854,0.4580792486667633,0.4715152680873871,0.4852929711341858,0.49296486377716064,0.49151647090911865,0.5000753402709961,0.49402520060539246,0.5144736766815186,0.549471914768219,0.5848594307899475,0.5933957099914551,0.6462770104408264,0.6807917356491089,0.7253168821334839,0.7817972302436829,0.8242858648300171,0.8687869310379028,0.9999998211860657
Image_50,0.4061594605445862,0.4226199984550476,0.4292369782924652,0.430510550737381,0.4378196597099304,0.4497454762458801,0.4613311290740967,0.469048410654068,0.4893823266029358,0.4914577305316925,0.4877842366695404,0.4792104959487915,0.49436676502227783,0.4859172999858856,0.5304562449455261,0.5655044913291931,0.5756703615188599,0.6285943388938904,0.6461480259895325,0.6758865118026733,0.7392646074295044,0.7916112542152405,0.8584423661231995,1.0
