Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_68,-0.01146523468196392,0.004080858081579208,0.005649350583553314,0.010377131402492523,0.04250173643231392,0.07678132504224777,0.10771667957305908,0.16284194588661194,0.31250476837158203,0.6543254852294922,0.8597170114517212,0.9421259164810181
Image_69,-0.003709070384502411,-0.01053837314248085,-0.0021158307790756226,0.02831360697746277,0.07536143809556961,0.14005771279335022,0.2034107744693756,0.2575451135635376,0.39430826902389526,0.7185894846916199,0.8656624555587769,0.9087562561035156
Image_70,-0.013104192912578583,-0.00990280881524086,-0.019520439207553864,-0.012556113302707672,0.020711809396743774,0.07910609245300293,0.12322072684764862,0.18997743725776672,0.33844268321990967,0.640295684337616,0.8442220091819763,0.9420382380485535
Image_71,0.003078591078519821,0.03603785112500191,0.047231610864400864,0.05139680579304695,0.08849643170833588,0.1357686072587967,0.18552762269973755,0.24932309985160828,0.4386204779148102,0.7510693073272705,0.8878890872001648,0.9006744623184204
Image_72,0.004859637469053268,0.032718952745199203,0.04547182098031044,0.057259589433670044,0.08301077038049698,0.12374363839626312,0.17743825912475586,0.2773677110671997,0.42078453302383423,0.7347460985183716,0.8896929025650024,0.9341654181480408
Image_73,0.007999174296855927,-0.002694062888622284,0.011204656213521957,0.010353721678256989,0.04671505466103554,0.09843990206718445,0.1407945603132248,0.21126839518547058,0.36217761039733887,0.6829248070716858,0.8872025012969971,0.9603940844535828
Image_74,0.02443203330039978,0.029805488884449005,0.02696382999420166,0.03367765620350838,0.07351386547088623,0.1193225085735321,0.17759329080581665,0.2572454810142517,0.42406925559043884,0.7774121165275574,0.894134521484375,0.9179956316947937
Image_75,0.014393594115972519,0.04808618500828743,0.06701909005641937,0.08923495560884476,0.12074016034603119,0.17589443922042847,0.232536181807518,0.2978317141532898,0.4843643307685852,0.7905665636062622,0.8958550691604614,0.9249510765075684
Image_76,-0.010165080428123474,0.029708094894886017,0.026100941002368927,0.03829668462276459,0.06969926506280899,0.13771729171276093,0.18333879113197327,0.2567303478717804,0.3919742703437805,0.7113833427429199,0.8644658327102661,0.929431676864624
Image_77,-0.019334521144628525,-0.015788577497005463,-0.005452632904052734,0.0029353871941566467,0.03949715942144394,0.10745446383953094,0.149394229054451,0.22980132699012756,0.3891841173171997,0.6860761046409607,0.8759081959724426,0.9493818283081055
Image_78,0.00720297172665596,-0.003656826913356781,0.005501657724380493,0.015002533793449402,0.04013175517320633,0.10451125353574753,0.13969482481479645,0.2152848243713379,0.3655998706817627,0.7213224172592163,0.8842911124229431,0.94563889503479
Image_79,0.020137976855039597,-4.278123378753662e-05,0.015215471386909485,0.041230350732803345,0.0807039737701416,0.11728988587856293,0.15061025321483612,0.20667099952697754,0.3561961054801941,0.690588116645813,0.8909990191459656,0.9313018321990967
Image_80,0.006975691765546799,-0.0045798830687999725,-0.005910627543926239,0.0048411935567855835,0.032152846455574036,0.08710965514183044,0.12462189048528671,0.19082224369049072,0.3592221736907959,0.6952705383300781,0.8691114783287048,0.933772623538971
Image_81,-0.006007395684719086,-0.003830946981906891,-0.002239026129245758,0.011486634612083435,0.04396899789571762,0.10043425858020782,0.1358991265296936,0.2020164132118225,0.34702569246292114,0.648955225944519,0.8690727353096008,0.9519578218460083
Image_82,-0.015487678349018097,-0.038580603897571564,-0.044967539608478546,-0.03574790060520172,-0.0026244446635246277,0.0423789918422699,0.08639861643314362,0.13646197319030762,0.27480050921440125,0.5946428775787354,0.837410569190979,0.9449166655540466
Image_83,0.03901466727256775,0.07111051678657532,0.06984183192253113,0.08249141275882721,0.09771434962749481,0.16114136576652527,0.2069055140018463,0.2789124846458435,0.43685638904571533,0.7767208814620972,0.8850449323654175,0.9262851476669312
Image_84,0.01598481461405754,-0.006845172494649887,-0.007729746401309967,-0.000278376042842865,0.03289834037423134,0.0917637050151825,0.13052979111671448,0.1953606903553009,0.3396332859992981,0.6683778762817383,0.8679808378219604,0.9344865083694458
